game,seed,status,live_seconds,run_dir,levels_reached,transitions,reset_overhead,cap_utilization,possible_win_or_early_exit,A1_pct,A2_pct,A3_pct,A4_pct,A5_pct,click_pct,click_entropy,click_entropy_early,click_entropy_late,change_rate_raw,indicator_cells,change_rate_meaningful,cells_changed_med,cells_changed_p95,cells_ever_changed,A1_change_rate,A1_meaningful_rate,A2_change_rate,A2_meaningful_rate,A3_change_rate,A3_meaningful_rate,A4_change_rate,A4_meaningful_rate,A5_change_rate,A5_meaningful_rate,click_change_rate,click_meaningful_rate,click_changes_clicked_cell,click_to_change_dist_med,unique_frames,unique_frames_per_1k_actions,late_discovery_rate,unique_state_actions,exact_repeat_fraction,wall_ms_med,wall_ms_p95,model_ms_med,model_ms_p95,model_fraction_of_wall,est_offline_actions_per_sec
vc33,0,ok,1375.9,/home/mattd/ARC3-solution/runs/20260716_210853,0,24019,981,96.08,False,0.0,0.0,0.0,0.0,0.0,100.0,0.9896,0.9649,0.9651,1.0,60,0.0684,1.0,2.0,1255,,,,,,,,,,,1.0,0.0684,0.0003,54.0,207,8.6,0.0,23013,0.0419,39.7,114.1,1.79,74.8,0.045,62.0
vc33,1,ok,1400.8,/home/mattd/ARC3-solution/runs/20260716_213146,0,24019,981,96.08,False,0.0,0.0,0.0,0.0,0.0,100.0,0.9897,0.9647,0.9656,1.0,60,0.048,1.0,2.0,1035,,,,,,,,,,,1.0,0.048,0.0003,51.0,218,9.1,0.0,23019,0.0416,40.7,128.8,1.81,90.0,0.044,57.0
vc33,2,ok,1446.7,/home/mattd/ARC3-solution/runs/20260716_215507,0,24019,981,96.08,False,0.0,0.0,0.0,0.0,0.0,100.0,0.9895,0.9635,0.9651,1.0,60,0.0675,1.0,2.0,1035,,,,,,,,,,,1.0,0.0675,0.0002,51.0,178,7.4,0.0,22973,0.0435,40.8,131.0,1.81,90.7,0.044,57.0
ft09,0,ok,1554.8,/home/mattd/ARC3-solution/runs/20260716_221914,0,24981,19,99.92,False,0.0,0.0,0.0,0.0,0.0,100.0,0.3928,0.5746,0.2422,0.0126,0,0.0126,38.0,38.0,3666,,,,,,,,,,,0.0126,0.0126,1.0,0.0,294,11.8,0.0,1927,0.9229,51.4,141.5,1.27,90.9,0.025,56.0
ft09,1,ok,1443.0,/home/mattd/ARC3-solution/runs/20260716_224509,0,24987,13,99.95,False,0.0,0.0,0.0,0.0,0.0,100.0,0.2148,0.3901,0.0925,0.0084,0,0.0084,38.0,38.0,3666,,,,,,,,,,,0.0084,0.0084,0.9952,0.0,204,8.2,0.0,1161,0.9535,41.2,130.2,1.27,90.6,0.031,58.0
ft09,2,ok,1602.1,/home/mattd/ARC3-solution/runs/20260716_230912,0,24977,23,99.91,False,0.0,0.0,0.0,0.0,0.0,100.0,0.2916,0.4686,0.13,0.0143,0,0.0143,38.0,38.0,3666,,,,,,,,,,,0.0143,0.0143,0.9972,0.0,330,13.2,0.0,1373,0.945,52.3,142.4,1.27,91.4,0.024,56.0
g50t,0,ok,2352.4,/home/mattd/ARC3-solution/runs/20260716_233554,0,24619,381,98.48,False,16.84,22.71,15.94,22.51,22.01,0.0,,,,0.8603,0,0.8603,49.0,96.0,432,0.7207,0.7207,0.9438,0.9438,0.7283,0.7283,0.9513,0.9513,0.8834,0.8834,,,,,3159,128.3,0.0549,7294,0.7037,76.9,186.1,1.79,93.5,0.023,52.0
g50t,1,ok,1994.6,/home/mattd/ARC3-solution/runs/20260717_001506,0,24619,381,98.48,False,16.13,22.98,15.72,23.02,22.15,0.0,,,,0.8576,0,0.8576,49.0,96.0,432,0.7203,0.7203,0.9434,0.9434,0.7255,0.7255,0.931,0.931,0.8861,0.8861,,,,,3139,127.5,0.0703,7231,0.7063,64.0,159.7,1.79,92.7,0.028,53.0
g50t,2,ok,2491.0,/home/mattd/ARC3-solution/runs/20260717_004821,0,24619,381,98.48,False,15.92,22.72,16.07,23.01,22.28,0.0,,,,0.8569,0,0.8569,49.0,96.0,432,0.7198,0.7198,0.9363,0.9363,0.7369,0.7369,0.943,0.943,0.8716,0.8716,,,,,3145,127.7,0.0675,7338,0.7019,85.5,192.8,1.82,94.4,0.021,52.0
dc22,0,ok,1383.1,/home/mattd/ARC3-solution/runs/20260717_012952,0,24611,389,98.44,False,21.71,21.91,21.53,21.19,0.0,13.66,0.9173,0.8205,0.8204,0.8536,0,0.8536,8.0,9.0,284,0.9073,0.9073,0.9034,0.9034,0.8988,0.8988,0.9081,0.9081,,,0.5323,0.5323,0.0006,49.0,2681,108.9,0.052,9341,0.6205,40.7,130.4,1.73,91.6,0.042,57.0
dc22,1,ok,1551.0,/home/mattd/ARC3-solution/runs/20260717_015255,0,24609,391,98.44,False,21.64,21.39,22.24,21.33,0.0,13.4,0.9144,0.8253,0.8171,0.8573,0,0.8573,8.0,9.0,284,0.9123,0.9123,0.9058,0.9058,0.8982,0.8982,0.9123,0.9123,,,0.5353,0.5353,0.0,48.0,2774,112.7,0.0638,9783,0.6025,52.2,144.2,1.83,92.6,0.035,55.0
dc22,2,ok,1525.8,/home/mattd/ARC3-solution/runs/20260717_021846,0,24609,391,98.44,False,21.74,21.69,21.76,21.57,0.0,13.23,0.9133,0.8162,0.8165,0.8558,0,0.8558,8.0,9.0,284,0.9155,0.9155,0.906,0.906,0.8999,0.8999,0.9037,0.9037,,,0.5247,0.5247,0.0,49.0,2873,116.7,0.0337,9731,0.6046,52.2,144.0,1.84,92.5,0.035,55.0
